[2026-04-20T17:08:59.269Z] LOG   Scraping jobs...
[2026-04-20T17:10:22.093Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7625525003
[2026-04-20T17:10:22.130Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5093304007?gh_jid=5093304007
[2026-04-20T17:10:22.158Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7691593003
[2026-04-20T17:10:22.181Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7599064003
[2026-04-20T17:10:22.764Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7594766003
[2026-04-20T17:10:23.847Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6656139003
[2026-04-20T17:10:23.867Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7654721003
[2026-04-20T17:10:23.953Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7681032003
[2026-04-20T17:10:24.036Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7662940003
[2026-04-20T17:10:24.086Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7666424003
[2026-04-20T17:10:25.290Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7587428003
[2026-04-20T17:10:25.394Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7551854003
[2026-04-20T17:10:25.423Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6535129003
[2026-04-20T17:10:25.428Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7482019003
[2026-04-20T17:10:25.625Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6559368003
[2026-04-20T17:10:26.653Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7668069003
[2026-04-20T17:10:26.663Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6533755003
[2026-04-20T17:10:26.717Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7687798003
[2026-04-20T17:10:26.729Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6614817003
[2026-04-20T17:10:26.868Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6533756003
[2026-04-20T17:10:28.045Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6788081003
[2026-04-20T17:10:28.051Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7575267003
[2026-04-20T17:10:28.130Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7638811003
[2026-04-20T17:10:28.166Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7595147003
[2026-04-20T17:10:28.292Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7698587003
[2026-04-20T17:10:29.372Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7646019003
[2026-04-20T17:10:29.455Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6254751003
[2026-04-20T17:10:29.484Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7508926003
[2026-04-20T17:10:29.491Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7611664003
[2026-04-20T17:10:29.496Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6316688003
[2026-04-20T17:10:30.680Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7617068003
[2026-04-20T17:10:30.714Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7568829003
[2026-04-20T17:10:30.724Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7586632003
[2026-04-20T17:10:30.807Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7528108003
[2026-04-20T17:10:30.813Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7574167003
[2026-04-20T17:10:31.943Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6509356003
[2026-04-20T17:10:31.979Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7677199003
[2026-04-20T17:10:32.007Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7496588003
[2026-04-20T17:10:32.043Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7496585003
[2026-04-20T17:10:32.049Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7651154003
[2026-04-20T17:10:33.150Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6510648003
[2026-04-20T17:10:33.243Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7677044003
[2026-04-20T17:10:33.258Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7646414003
[2026-04-20T17:10:33.270Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7512211003
